"","alpha","lambda","y","type","run"
"354",0.810879926139023,0.207362451260754,0.261630952358246,"bayesian",5
"355",0.916735840282248,0.104659584273274,1.39009094238281,"bayesian",5
"356",0.726772017602343,0.755017362146949,0.172161281108856,"bayesian",5
"357",0.608386406461553,0.4492800970523,0.137684434652328,"bayesian",5
"358",0.0387767166054497,0.83749542858762,0.137764781713486,"bayesian",5
"359",0.239945416959623,0.72148869727971,0.103101082146168,"bayesian",5
"360",0.879943411292819,0.957054492687651,0.566103339195251,"bayesian",5
"361",0.442313518064717,0.295347294653766,0.116204485297203,"bayesian",5
"362",0.253227091103327,0.0509212344768457,0.109051145613194,"bayesian",5
"363",0.001,0.494196710346683,0.125641241669655,"bayesian",5
"364",0.999,0.587286219131545,2.30147075653076,"bayesian",5
"365",0.404638470478381,0.999,0.106504790484905,"bayesian",5
"366",0.422673734655569,0.679228510364807,0.0994156822562218,"bayesian",5
"367",0.428918450228603,0.594720406072367,0.103462189435959,"bayesian",5
"368",0.44001616066124,0.840263659730061,0.113542996346951,"bayesian",5
"369",0.322049773674835,0.940731537688284,0.0999080985784531,"bayesian",5
"370",0.361906857555228,0.827952711508898,0.0994958728551865,"bayesian",5
"371",0.39047112105129,0.792849517874719,0.101556956768036,"bayesian",5
"372",0.208598854620121,0.422814418852253,0.110496766865253,"bayesian",5
"373",0.311423411733995,0.719570982399552,0.106527231633663,"bayesian",5
"374",0.398121969937283,0.717882624060239,0.0995409563183784,"bayesian",5
"375",0.395905314131826,0.711952350274546,0.110788352787495,"bayesian",5
"376",0.995636029429734,0.863782772561535,2.30207514762878,"random",6
"377",0.654428261658177,0.272227308750153,0.13912545144558,"random",6
"378",0.0546341220568866,0.951259994609281,0.119963392615318,"random",6
"379",0.129402584135532,0.138199252635241,0.114281080663204,"random",6
"380",0.348048897823319,0.588038806021214,0.104627408087254,"random",6
"381",0.380728077497333,0.434822609378025,0.0981084108352661,"random",6
"382",0.195398261602968,0.0560578481294215,0.109011091291904,"random",6
"383",0.56920967628248,0.318508030390367,0.117439985275269,"random",6
"384",0.402844067914411,0.709834731807932,0.10103752464056,"random",6
"385",0.20183920878917,0.618809984605759,0.108703203499317,"random",6
"386",0.0387132300436497,0.559757300447673,0.136681452393532,"random",6
"387",0.0900667385943234,0.908552010301501,0.129282385110855,"random",6
"388",0.768420432452112,0.777203677482903,0.201742693781853,"random",6
"389",0.861722562387586,0.453321669390425,0.472455084323883,"random",6
"390",0.517202670732513,0.834973936416209,0.117461763322353,"random",6
"391",0.528306574495509,0.164660634389147,0.112158372998238,"random",6
"392",0.247468324825168,0.351476677870378,0.104532226920128,"random",6
"393",0.828014369467273,0.641153048379347,0.311731517314911,"random",6
"394",0.448970644613728,0.759567743455991,0.107012942433357,"random",6
"395",0.944417677326128,0.226612145211548,1.91181814670563,"random",6
"396",0.280505497679114,0.991903541469947,0.101628817617893,"random",6
"397",0.610909843333066,0.113343968987465,0.128110498189926,"random",6
"398",0.889094610847533,0.381632825182751,0.846340417861938,"random",6
"399",0.735486004911363,0.509268273124471,0.170983374118805,"random",6
"400",0.715910977935418,0.000836335066705942,0.165135562419891,"random",6
"401",0.01,0.01,0.131059750914574,"grid",6
"402",0.25,0.01,0.0987707450985909,"grid",6
"403",0.5,0.01,0.11045690625906,"grid",6
"404",0.75,0.01,0.185148075222969,"grid",6
"405",0.99,0.01,2.30213499069214,"grid",6
"406",0.01,0.25,0.136942252516747,"grid",6
"407",0.25,0.25,0.110454455018044,"grid",6
"408",0.5,0.25,0.111525788903236,"grid",6
"409",0.75,0.25,0.193390339612961,"grid",6
"410",0.99,0.25,2.30204033851624,"grid",6
"411",0.01,0.5,0.137773558497429,"grid",6
"412",0.25,0.5,0.108060374855995,"grid",6
"413",0.5,0.5,0.118011049926281,"grid",6
"414",0.75,0.5,0.192829430103302,"grid",6
"415",0.99,0.5,2.30210065841675,"grid",6
"416",0.01,0.75,0.140692487359047,"grid",6
"417",0.25,0.75,0.106046237051487,"grid",6
"418",0.5,0.75,0.113013811409473,"grid",6
"419",0.75,0.75,0.203086853027344,"grid",6
"420",0.99,0.75,2.30207753181458,"grid",6
"421",0.01,0.99,0.129132941365242,"grid",6
"422",0.25,0.99,0.109306000173092,"grid",6
"423",0.5,0.99,0.107642911374569,"grid",6
"424",0.75,0.99,0.196453675627708,"grid",6
"425",0.99,0.99,2.30218100547791,"grid",6
"426",0.410941709667289,0.4235124066084,0.102846302092075,"bayesian",6
"427",0.267156410302656,0.56045125721721,0.106637082993984,"bayesian",6
"428",0.190895910685261,0.796086381713394,0.103759542107582,"bayesian",6
"429",0.437915057157322,0.950092829686279,0.109979249536991,"bayesian",6
"430",0.880896469345316,0.611367548757698,0.713431060314178,"bayesian",6
"431",0.0666912809829228,0.139843670709524,0.124722421169281,"bayesian",6
